cell_id,family,rho_w_target,rho_w,seed,t_rel,params_json,amp_scale,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,detector_n_gates,detector_fired,gates_json,error,elapsed_s
0,sine_gaussian,10.0,10.0,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",1.0296662181148238e-21,17.765021514892577,33.093177795410156,45.405843353271486,False,18.043683815002442,33.888999938964844,45.38227920532226,True,0,False,[],,3.72
1,sine_gaussian,26.826957952797258,26.826957952797258,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",2.762281233878215e-21,17.14477672576904,32.75027084350586,44.45644035339355,False,15.453448867797851,29.758137702941895,44.468724441528316,True,1,True,"[[-1.338, -0.162]]",,3.591
2,sine_gaussian,71.96856730011521,71.96856730011521,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",7.41036025150518e-21,13.876580047607423,23.693629264831543,41.84377574920654,False,16.839088249206544,33.03208351135254,45.64023056030273,True,1,True,"[[-1.588, 0.088]]",,3.566
3,sine_gaussian,193.06977288832496,193.06977288832496,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",1.987974228822095e-20,10.003130912780762,10.175735473632812,10.96918544769287,True,17.434349632263185,33.60553741455078,45.36633510589599,True,1,True,"[[-1.588, 0.088]]",,3.161
4,sine_gaussian,517.9474679231213,517.9474679231213,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",5.333130104785493e-20,12.67721347808838,13.465782165527344,14.252779769897462,True,16.855904579162598,32.59088897705078,44.984535217285156,True,1,True,"[[-1.588, 0.088]]",,3.633
5,sine_gaussian,1389.4954943731375,1389.4954943731375,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",1.4307165707787758e-19,9.346682167053222,9.442337036132812,9.452649688720703,True,17.015576171875,31.264394760131836,44.60499877929688,True,1,True,"[[-1.963, 0.213]]",,3.583
6,sine_gaussian,3727.593720314938,3727.593720314938,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",3.838177328665248e-19,99.9491958618164,99.9566535949707,100.1101261138916,True,20.475486755371094,34.204994201660156,44.82036876678467,True,1,True,"[[-2.0, 1.838]]",,3.536
7,sine_gaussian,10000.0,10000.0,0,-0.7356459752142549,"{""f0"": 102.84241271624498, ""q"": 3.4916822872343363}",1.0296662181148238e-18,7.660862159729004,7.66539192199707,7.669140434265136,True,19.892581176757812,35.164581298828125,45.189606285095216,True,1,True,"[[-2.0, 2.0]]",,3.403
8,sine_gaussian,10.0,10.0,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",6.900223066554619e-22,18.996511268615723,33.863420486450195,45.51183547973633,False,19.28389492034912,33.63944053649902,45.22256298065185,True,0,False,[],,3.602
9,sine_gaussian,26.826957952797258,26.826957952797258,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",1.851119940713825e-21,18.877643203735353,33.53631019592285,45.012175941467284,False,18.91535892486572,33.94907188415527,45.20335102081299,True,0,False,[],,3.621
10,sine_gaussian,71.96856730011521,71.96856730011521,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",4.965991681511434e-21,18.281995010375976,34.63356399536133,46.123166847229,False,19.838306045532228,34.73566818237305,45.01078014373779,True,1,True,"[[-1.713, -0.162]]",,3.592
11,sine_gaussian,193.06977288832496,193.06977288832496,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",1.3322245003384814e-20,19.367160034179687,33.23373985290527,45.18454647064209,False,17.996128654479982,33.756858825683594,45.74099349975586,True,1,True,"[[-1.713, -0.037]]",,3.209
12,sine_gaussian,517.9474679231213,517.9474679231213,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",3.57395306542668e-20,17.861797714233397,33.84710693359375,45.551632499694826,False,17.637038040161134,33.13687324523926,45.02864093780517,True,1,True,"[[-1.713, -0.037]]",,3.17
13,sine_gaussian,1389.4954943731375,1389.4954943731375,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",9.587828861147236e-20,17.599892807006835,33.31951141357422,44.44185028076172,False,17.40431308746338,33.23563003540039,45.24294452667236,True,1,True,"[[-2.0, -0.037]]",,3.345
14,sine_gaussian,3727.593720314938,3727.593720314938,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",2.572122817166128e-19,16.344971084594725,31.208715438842773,44.68074378967285,False,16.6273401260376,33.58138656616211,44.857730293273924,True,1,True,"[[-2.0, 0.088]]",,3.81
15,sine_gaussian,10000.0,10000.0,1000,-0.8743371144299248,"{""f0"": 193.037298691709, ""q"": 8.651301567867048}",6.900223066554618e-19,11.303361701965333,14.236030578613281,26.61635427474975,False,16.23722324371338,32.053300857543945,45.072099685668945,True,2,True,"[[-2.0, 0.088], [0.912, 1.963]]",,3.412
16,sine_gaussian,10.0,10.0,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",1.180791320939745e-21,18.6942928314209,33.69820594787598,44.87433338165283,False,19.04467658996582,34.295114517211914,45.101082420349115,True,0,False,[],,3.429
17,sine_gaussian,26.826957952797258,26.826957952797258,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",3.167703911787847e-21,18.959597778320312,34.32424736022949,45.29953842163086,False,17.306181335449217,32.91772651672363,44.731591415405276,True,1,True,"[[-1.588, -0.162]]",,3.222
18,sine_gaussian,71.96856730011521,71.96856730011521,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",8.497985964844398e-21,18.868961143493653,35.10346603393555,45.34693870544434,False,16.808712768554688,32.86501121520996,44.8775032043457,True,1,True,"[[-1.588, -0.037]]",,3.309
19,sine_gaussian,193.06977288832496,193.06977288832496,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",2.279751121623418e-20,19.581409454345703,35.2742919921875,45.4075548171997,False,17.79283676147461,35.095130920410156,45.7637638092041,True,1,True,"[[-1.713, -0.037]]",,3.612
20,sine_gaussian,517.9474679231213,517.9474679231213,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",6.115878748263386e-20,19.509354209899904,35.244014739990234,44.21421146392822,False,18.106410598754884,34.06627082824707,45.80481376647949,True,1,True,"[[-1.713, 0.088]]",,3.523
21,sine_gaussian,1389.4954943731375,1389.4954943731375,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",1.640704220240681e-19,10.329268455505371,12.27872085571289,15.246744537353514,False,19.072916984558105,33.636356353759766,45.77158756256104,True,1,True,"[[-1.713, 0.088]]",,3.323
22,sine_gaussian,3727.593720314938,3727.593720314938,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",4.401510312937373e-19,12.674298286437988,17.555843353271484,20.072385025024413,False,16.889832305908204,33.15439414978027,45.37863254547119,True,1,True,"[[-2.0, 0.088]]",,3.507
23,sine_gaussian,10000.0,10000.0,2000,-0.8098364173708364,"{""f0"": 207.2346445090795, ""q"": 3.324452447270973}",1.180791320939745e-18,8.774439239501953,8.840959548950195,8.86620635986328,True,18.5882360458374,34.37856483459473,45.65824222564697,True,2,True,"[[-2.0, 0.463], [0.537, 2.0]]",,3.849
24,sine_gaussian,10.0,10.0,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",6.551998283789061e-22,19.30331802368164,33.89247512817383,44.86546955108643,False,17.6135892868042,34.298091888427734,44.60259475708008,True,0,False,[],,3.415
25,sine_gaussian,26.826957952797258,26.826957952797258,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",1.7577018246600896e-21,19.96662712097168,34.04649353027344,45.112183570861816,False,19.165047264099123,33.38186264038086,45.9856201171875,True,1,True,"[[-1.713, -0.787]]",,3.578
